Title,Price,Capacity,Grape,Closure,Country,Characteristics,Type,ABV,Region,Style,Vintage
"Bodegas Caro 'Malbec Argentino' 2021, Mendoza","Bodegas Caro is a partnership between Catena – one of Mendoza’s most renowned producers – and the famous Rothschild winemaking family. It’s a prestigious marriage of French and Argentinian expertise. This is a pure expression of Malbec. Grapes are hand-harvested and aged without oak, so the grape’s fruity character is forefront in your glass.  The vineyards are on a high plateau, with huge variations in temperature between night and day, which gives the resulting wine a delicate, round and soft character. It’s full of fresh blueberry, blackberry, cassis and violet. It makes a prime match for South American-style steak.",£19.99 per bottle,75CL,,Natural Cork,10.9,per bottle,Red,ABV 14.50%,Mendoza,Soft & Fruity
"Château Meyney 'La Chapelle de Meyney' 2016/17, Saint-Estèphe","This 92-point claret is made by Château Meyney, the only winery in Médoc that has clay soils similar to those at £2,500-per-bottle Pétrus. It's a second wine in name, but it's made with the same care as the grand vin. The only difference is that it's from younger vines - which are still, on average, 35-years-old. Its depths of black-fruit flavour and snappy tannins and beginning to hit their peak right now.",£26.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied
Parcel Series Saint-Estèphe 2020,"Parcel Series is for when top-class wineries need to make space quickly and discreetly. So we pick up their wines at a fraction of the usual price and pass the saving to you. The catch? We can't tell you who makes it. This is an aromatic and full-bodied Saint-Estèphe from a prestigious estate. It's a blend of Merlot and Cabernet Sauvignon that has bold flavours of blackcurrant, red cherry and spice. It has ripe tannins which are fantastic with braised or grilled meats.",£29.99 per bottle,75CL,Merlot,Natural Cork,9.8,per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied
Marqués de Murrieta Rioja Gran Reserva 2014/15,"Marqués de Murrieta began in 1852 and is the oldest estate to stand in Rioja Alta. The winemaker here today is Maria Vargas, who was Tim Atkin MW's Winemaker of the Year in 2017. This is a full-bodied and generous Gran Reserva Rioja, with flavours of red and dark fruits, spicy oak and vanilla. Decant for at least half an hour before serving at 16-18 degrees with a roast dinner.",£46.99 per bottle,75CL,,Natural Cork,10.5,per bottle,Red,ABV 14.00%,Rioja And Navarra,Savoury & Full Bodied
"Louis Latour Marsannay Rouge 2021, Burgundy","The red wines of Marsannay get their lively, robust character from the rich iron soils carpeting the north of Burgundy’s Côte d’Or. And Louis Latour, one of the region’s foremost producers, makes this classic, delicious example. Only the best hand-picked Pinot Noir grapes – from vines averaging 30 years of age – are used. The finished wine is packed with that enticing red fruit and gamey character that makes red Burgundy so popular. Use it to wash down roasted duck or coq au vin.",£34.99 per bottle,75CL,,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Burgundy,Light & Elegant
Domaine Pierre Marchand 'Les Cigales' Pouilly-Fumé 2021/22,"Eric Marchant spent his childhood in his father Pierre’s vineyards, observing and helping where he could. His inherited love of the land led him to study viticulture, and since 1998, along with the help of his brother Pascal, he makes wines combining traditional and modern practices. Their vines have an average age of 25 years, allowing grapes to ripen with greater complexity, and their minimal intervention approach means the resulting wines have deliciously pure fruity flavour. This has aromatic notes of citrus, blackcurrant leaf and gooseberry. The finish is elegant and long with hints of flinty minerality and ripe apple. Its crisp and zingy character makes it a great choice for a goat’s cheese and apple salad.",£17.99 per bottle,75CL,,Natural Cork,9.4,per bottle,White,ABV 12.50%,Loire,Ripe & Rounded
"Domaines Schlumberger 'Les Princes Abbés' Gewürztraminer 2020/21, Alsace","Domaines Schlumberger make their wines using only estate-grown fruit, from vineyards located on the breathtaking slopes of southern Alsace, many having up to 50o elevation. Of their 140ha of vineyards, 70ha are recognised as grand cru sites. An intense nose of rose petals, oriental spice and tropical fruit. Gently off-dry, with a round and mellow texture, balanced by a burst of acidity and a peppery note on the finish. Wonderfully food-friendly, especially when paired with mildly spiced Thai or Indonesian dishes, or with pungent cheeses.",£18.99 per bottle,75CL,,Natural Cork,10.5,per bottle,White,ABV 14.00%,Alsace,Aromatic & Floral
"Yellow Tail Pinot Grigio 2021/22, Australia","Yellow Tail Pinot Grigio is zesty, bright and refreshingly light. With gentle notes of apple, pear, citrus and just a touch of passionfruit, it's a delicious fruit-forward foray into Pinot Grigio territory. Enjoy yours with colourful salads or simple fish dishes.",£8.99 per bottle,75CL,,Screwcap,8.6,per bottle,White,ABV 11.50%,South East Australia,Smooth & Light
Fonseca ‘Quinta do Panascal’ Vintage Port 2008,"Founded in 1815, Fonseca has a centuries-old reputation for decadent vintage Port. Sourced from their flagship estate, the Quinta do Panascal bottlings are famed for their distinctive character and vibrancy. Crafted using sustainably grown fruit, grapes are foot-trodden in traditional cement tanks and then aged in oak barrels. This 2008 vintage is a pure expression of the estate's slopey, riverside terroir, with opulent notes of cassis, black cherry, dark chocolate and sandalwood.",£32.99 per bottle,75CL,"Tinta Barroca, Tinta Cao, Tinta Roriz, Touriga Franca",Natural Cork,15.4,per bottle,Red,ABV 20.50%,Douro,
Croft 10 Year Old Tawny Port,"The 10 Year Old Tawny is drawn from a reserve of fine wood ports which have been aged to full maturity in seasoned oak casks, each holding about 630 litres of wine. The individual wines are then blended to guarantee consistency of quality and house style.",£24.99 per bottle,75CL,"Tinta Roriz, Tinta Cao",Natural Cork,15,per bottle,Tawny,ABV 20.00%,Douro,
"Les Hauts de Castelmaure, Corbières 2020/21","Embres-et-Castelmaure is a tiny village to the south of Corbières, with around 150 residents, all of whom are families of grape growers. The village's local cooperative makes this wine from Grenache, Syrah and Carignan hand-picked from high altitude plots, with vines aged up to 80 years old. An expressive and open red, this has notes of damson jam and cassis, and that unmistakable 'garrigue' aroma of heather and wild thyme.",£13.99 per bottle,75CL,"Syrah, Carignan",Natural Cork,10.9,per bottle,Red,ABV 14.50%,Languedoc-Roussillon,Bold & Spicy
Bodegas Roda 'Roda I' Rioja Reserva 2015/16,"Bodegas Roda is one of Rioja's forward-thinking producers. They began just over 30 years ago and aim to show the modern face of the region. As a result, they're quickly gaining plenty of fans. They age this Reserva in French, as opposed to American, oak. This gives a much more subtle oak influence to the wine. Think well-integrated chocolate and tobacco that join hints of black fruit and plum. Try it with a roast dinner.",£55.99 per bottle,75CL,Graciano,Natural Cork,10.9,per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied
"Royal Tokaji 'Gold Label' 6 Puttonyos 2017, Hungary 50cl","Tokaji Aszú is the original 'noble rot' wine. Made from a blend of 'botrytis' grapes it matches (and often surpasses) Sauternes. In fact, its vineyards were the world's first classified vineyards - a century before Bordeaux's famous classification! The Gold Label is a blend of several 'First Growths' where single-vineyard bottlings will set you back £50 minimum! At 6 'Puttonyos', this is the richest, most opulent style of Tokaji with aromas of rich citrus, grapefruit and spice mirrored in a palate of lemon-peel, peach and candied mango.",£51.99 per bottle,50CL,Harslevelu,Natural Cork,5.5,per bottle,White,ABV 11.00%,Hungary,
Bodegas Hidalgo 'Triana' Pedro Ximénez Sherry,"Produced by the Hidalgo Family bodega, established in 1792 in Sanlúcar. Made using grapes dried on straw mats,  fermented and fortified, then aged under the solaria system. One of the sweetest wines in the world, PX is about as sweet as things can get! Aromas of raisins, molasses, figs, toffee, caramel, nuts, the palate is incredibly thick, dense, with an oily texture, massive concentration and unsurpassed sweetness and prolonged length. The ultimate sweet wine! Fantastic when poured over ice-cream.

In 2022, this wine won an IWC award.",£17.99 per bottle,75CL,,Natural Cork,11.3,per bottle,White,ABV 15.00%,,
"Yellow Tail Malbec 2021/22, Australia","Full-bodied and decadent with a lingering finish, Yellow Tail Malbec is bursting with blackberry and cherry notes. Soft swathes of dark chocolate, vanilla and spice emerge through the palate for a deliciously steak-loving sip.",£8.99 per bottle,75CL,,Screwcap,10.1,per bottle,Red,ABV 13.50%,South East Australia,Rich & Juicy
"Torbreck 'Woodcutter's' Shiraz 2020/21, Barossa","Torbreck 'The Laird' Shiraz costs £660 per bottle. On the same vineyard, made with the same care but from younger vines, its 'Woodcutter's' Shiraz is deliciously approachable in its youth - and you'll taste a delicious complexity that you'd expect in three-figure-sum reds in its turbocharged tapestry of black fruits, sweet spices and vanilla.",£23.99 per bottle,75CL,,Screwcap,11.3,per bottle,Red,ABV 15.00%,South Australia,Bold & Spicy
"Pringle Bay Shiraz 2022/23, Western Cape","The Pringle Bay range is a rarity – winemaking expertise at an incredibly affordable price. So much so that David Williams, writing in The Observer in 2022, referred to Pringle Bay wines as being ""among the best-value wines"" he'd tried that year.  Created by legendary winemaking duo, Duncan Savage and Thys Louw (from nearby family estate Diemersdal), this new arrival to Majestic is packed full of blackberry, black pepper and juicy redcurrant fruit. There's a hint of oaky smoke that pairs beautifully with roasted pork or rich, baked aubergine dishes.",£9.99 per bottle,75CL,,Screwcap,10.5,per bottle,Red,ABV 14.00%,Western Cape,Rich & Juicy
"Making Tracks Shiraz 2019/20, South Australia","Shiraz is Australia's star grape. This is bold and full of dark bramble fruit - everything a big Aussie red should be. And there’s plenty of flavour for the price. Jammy blackberry and blackcurrant, pepper and vanilla spice. Excellent with beef short ribs.",£10.99 per bottle,75CL,,Screwcap,10.9,per bottle,Red,ABV 14.50%,South Australia,Bold & Spicy
"Chateau l'Hyverniere Muscadet 2020/21, Muscadet Sèvre et Maine","Château de l'Hyvernière is deeply rooted in the history of the Muscadet Sèvre et Maine region. Its first records date back to the 15th century. It was destroyed during the French revolution, and the vines behind this Muscadet today grow on where the illustrious château once sat. As you'd expect, this is the benchmark for aromatic, complex Muscadet. It has flavours of lemon, grapefruit and green apple and a chalky minerality which is great with the saltiness of oysters.",£11.99 per bottle,75CL,,Natural Cork,9,per bottle,White,ABV 12.00%,Loire,Fresh & Elegant 
Gonzalez Byass Solera Cream Sherry,"The Gonzalez family have been making exceptional sherry since 1835. And the experience really shines in this cream sherry. It's been aged for an average of eight years, so it's beautifully smooth. Expect notes of raisins, vanilla, caramel and hazelnuts. Try this with your cheese board or a vanilla cheesecake snuggled up in front of the fire.",£17.99 per bottle,75CL,,Natural Cork,13.5,per bottle,White,ABV 18.00%,,
"Two Hands 'Sexy Beast' Cabernet Sauvignon 2021/22, McLaren Vale","Two Hands is already one of the finest Shiraz producers in Australia. Turning its hand to Cabernet Sauvignon, it's crafted a red that's chock full of blackcurrant, mocha, mint and a hint of graphite. Scoring a solid 90 Parker Points with this vintage alone, it's clear the winery is master of many.",£21.99 per bottle,75CL,,Screwcap,10.9,per bottle,Red,ABV 14.50%,South Australia,Soft & Fruity
Veuve Clicquot Demi-Sec Champagne,"Demi-Sec is a style of Champagne that's a bit sweeter than usual. And Veuve Clicquot haven't neglected any of the flavour. First produced for the Russian court in the 19th century, this Champagne shows rich, candied fruits, toast and baked bread. It has a creamy mousse, a decadent palate and ends in a deliciously fresh finish. It's a perfect dessert wine, so serve it with peach pudding.",£54.99 per bottle,75CL,"Pinot Noir, Pinot Meunier",Natural Cork,9.4,per bottle,White,ABV 12.50%,,Crisp & Fruity
"Famille Hugel ‘Classic’ Riesling 2021/22, Alsace","Hugel are one of the wine dynasties of Alsace, established in 1639. Today the 12th and 13th generation of the family continue to produce exceptional Riesling. And plenty of attention to detail goes into making it. Grapes are hand-harvested from vines averaging 35 years old – adding complexity – and plans to become certified organic are underway. This elegant bottling couldn’t be more typical Alsace, with its aromas of apple, pear and citrus. With that underlying minerality and vibrant acidity, wines also don’t get much more food-friendly. Try it with sea bass ceviche or traditional pâté en croûte.",£22.99 per bottle,75CL,,Natural Cork,9.8,per bottle,White,ABV 13.00%,Alsace,Fresh & Elegant 
"Penfolds 'Max's' Chardonnay 2019/22, Adelaide Hills","Penfolds played a pivotal role in the evolution of winemaking in Australia and across the world. A huge part of this was Max Schubert, Chief Winemaker for 27 years. He paved the way for those who continue to make Penfolds one of the world's greatest wineries. And this Chardonnay lives up to the great name. Expect fresh flavours of stone fruits, citrus, grapefruit, crème brûlée and nougat. Try this with creamy chicken.",£22.99 per bottle,75CL,,Screwcap,10.1,per bottle,White,ABV 13.50%,South Australia,Rich & Toasty
Hidalgo 'Pastrana' Pasada Manzanilla Sherry,"This old (pasada) Manzanilla comes from the heralded Hidalgo family, where it is blended by 'capitaz' Antonio Sanchez. Becoming a capitaz requires a lifetime of dedication. Antonio must be familiar with the taste of every cask in the Bodega. This sherry has intense notes of apple skin, almonds, and orange peel with a salty twang. A prolonged finish marks this out as real quality. This Manzanilla should be served chilled as a stunning apéritif.

In 2022, this wine won an IWC award.",£16.99 per bottle,75CL,,Natural Cork,11.3,per bottle,White,ABV 15.00%,,
Château de Thauvenay Sancerre 2021/22,"The Loire Valley’s Langlois-Chateau winery is owned by the Bollinger family. Their L'Extra par Langlois Crémant has long been a Majestic customer favourite. Along with premium fizz, the winery also lays claim to vines surrounding the magnificent Château de Thauvenay in Sancerre. Here, rich calcareous soils and the team’s sustainable practices help to craft a style of Sauvignon Blanc for which the region is so renowned. Intense. Crisp. Aromatic. Expect exotic notes of pineapple, mango and grapefruit, with plenty of freshness and rich citrusy flavour.",£24.99 per bottle,750ML,,Natural Cork,9.4,per bottle,White,ABV 12.50%,Loire,Fresh & Elegant 
Pieropan ‘Ruberpan’ Organic Valpolicella Superiore DOC 2019,"Known for their timeless quality, Pieropan have been producing incredible wines in Veneto since the 1890s – and they were the first to use the Soave name on their bottles. The family has been at the forefront of innovation, popularising the use of French barriques for fermentation and ageing. And fourth-generation Dario Pieropan is no different. His adventurous nature has led him to explore the production of a duo of red wines from his family estate in Valpolicella. This silky red is crafted from just eight hectares of vines, spending between 18-24 months ageing in large oak barrels and further ageing in bottle at the estate. And, like all Pieropan wines produced since 2015, it's certified organic. Expect a soft and smooth wine, with complex flavours of red cherry, wild strawberry, and hints of spice. It’s an ideal match for roasted pork dishes.",£29.99 per bottle,75CL,Rondinella,Natural Cork,10.5,per bottle,Red,ABV 14.00%,Veneto,Bold & Spicy
Parcel Series Pauillac 2019,"Our Parcel Series wines are Majestic's best kept secret. They're for when top-shelf wineries need to make space quickly and discreetly. So we pick up their wines at a fraction of the usual price and pass the savings to you. The catch? We can't tell you who makes it. What we can tell you is that thanks to our price-savvy buyers, this expressive Pauillac delivers all the flavour of a top estate at a snip of the price. Expect intense flavours of blackcurrant, blueberries, liquorice and savoury hints of cedar and tobacco. Its ripe tannins make this an excellent pairing for herby lamb roasts and other rich red meat dishes.",£29.99 per bottle,75CL,"Merlot, Petit Verdot",Natural Cork,9.8,per bottle,Red,ABV 13.00%,Bordeaux,
"Château Fourcas Dupré 2013, Listrac-Médoc","Listrac-Médoc sits in a prime spot on Bordeaux’s prestigious left bank. Situated between St-Julien to the north and Margaux to the south, the appellation offers classic Cabernet Sauvignon-led blends that offer excellent value for money. Château Fourcas Dupré began in 1843, and it’s grown to become one of the leading estates in the region. This spends up to 14 months in barrel prior to release, and with almost a decade of bottle maturation under its belt, you can expect an impressive, complex claret. Expect silky notes of ripe red fruits and cedar wood spice. Its elegant tannins make it an ideal drop for white meat dishes.",£15.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,9.8,per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied
"Krasno Sauvignon Blanc-Ribolla Gialla 2021/22, Brda","Brda is known as 'the Tuscany of Slovenia'. It sits between the Alps and the Adriatic, just over the border from Friuli, Italy, where similar white wines demand much higher prices. But because Slovenian Sauvignon is still relatively under the radar, you can pick it up for a bargain. This is fresh and fruity, with aromas of green apple, pear, lemon and freshly cut grass. Try its refreshing acidity with oysters.",£9.99 per bottle,75CL,Ribolla Gialla,Screwcap,9.8,per bottle,White,ABV 13.00%,Slovenia,
"Incanta Pinot Noir 2021/22, Romania","Romania is where insiders look for great value, great tasting Pinot. It’s in the swing of a post-Soviet winemaking renaissance – and Englishman Philip Cox and his Romanian wife, Elvira, are ready to sing its praises to the rooftops. Their Cramele Recas Estate is now the most successful winery in Romania, and they continue to set new trends for Romanian wine. This Pinot punches way above its price point – and the 2020 vintage was awarded 90 points by Tim Atkin MW. This is a wonderfully approachable wine with notes of fresh black cherry, raspberry and cinnamon. Try its juicy flavours with a classic charcuterie board.",£9.99 per bottle,75CL,,Screwcap,9.4,per bottle,Red,ABV 12.50%,Romania,Light & Elegant
Bollinger R.D. 2008 Champagne,"RD is kept 'on the lees' in Bollinger's cellars, and only released once the wine has reached a particular degree of  development. Weighty and rich, with aromas of white truffle and layers of concentrated flavour, RD represents the pinnacle of Bollinger's expertise.",£310.00 per bottle,75CL,"Pinot Noir, Pinot Meunier",Natural Cork,9,per bottle,White,ABV 12.00%,,Rich & Toasty
"Château Tour Massac 2013/14, Margaux","Margaux is one of the most celebrated Bordeaux appellations. It has legions of fans – and prices to match its reputation. But there are still bargains to be found in the region. Enter, Château Tour Massac. It’s owned by the Guillemet family, who work with very old vines to produce expressive and elegant wines. You’ll find this fantastic-value bottle easily competes with the more famous Crus of the region. It’s full bodied with complex aromas of black fruit, cedar, leather, spices, tobacco and mint. Elegant. Aromatic. Balanced – in other words, classic Margaux. Crack open a bottle with herb-crusted lamb.",£36.99 per bottle,75CL,"Cabernet Franc, Merlot",Natural Cork,9.8,per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied
"Château d'Esclans 'Garrus' Rosé, Côtes de Provence 2020/21","If you don’t think of rosé as a fine wine, that's because you haven’t tried this one. This top bottling comes from the renowned Château d’Esclans in Provence. It’s made from century-old Grenache vines and Vermentino – or Rolle, as it’s known in Provence – and is aged in French oak barrels. In less than a decade since launch, it’s become a coveted world-class wine with many critic fans – Matthew Jukes has previously rated it 20/20 and James Suckling 96/100. Expect an impressively concentrated wine, with a creamy finish and rich, spicy notes to rival any top white wine or prestige Champagne. It’s a superb match for grilled salmon with roasted Mediterranean vegetables.",£139.99 per bottle,75CL,Vermentino,Natural Cork,10.5,per bottle,Rosé,ABV 14.00%,Provence,Delicate & Dry
Muga Rioja Blanco 2021/22,"Muga are as classic as Rioja gets. They even make their own oak barrels to get the ageing process spot on. Their reds may make the headlines, but this Rioja Blanco is a real hidden gem. It's rested on its lees and aged in oak for three months. As a result, there's a deliciously subtle texture to its flavours of citrus, apple and white flowers. Try it with grilled fish.",£14.99 per bottle,75CL,"Malvasia, Grenache Blanc",Natural Cork,10.5,per bottle,White,ABV 14.00%,Rioja And Navarra,Ripe & Rounded
Dom Perignon Brut Vintage Champagne,"The bouquet spirals through sweet, bright floral notes and the lively minerality so typical of Dom Pérignon, then notes of candied fruit, plants, the incredible freshness of camphor leaf and finally the dark hints of spices and liquorice root. The wine is currently still physical. It is compelling, tactile and vibrant rather than aromatic. The rhythm and tempo are more dominant than the melody. At first mild and delicate, then strongly, confidently mineral, persistent, precise, with a refined bitterness, and an iodine, saline tang. A classic accompaniment to any stylish celebration.",£230.00 per bottle,75CL,Pinot Noir,Natural Cork,9.4,per bottle,White,ABV 12.50%,,Rich & Toasty
"Kanonkop 'Kadette' Pinotage Rosé 2022/23, Stellenbosch","Wine has been made at Kanonkop since the 1940s, but it wasn’t until 1973 that the iconic label was created. Today, the winery has an international reputation as one of the finest in Stellenbosch. Their production is focused around South African signature grape, Pinotage, and Cabernet Sauvignon. Wines are made from vines in the Perdeberg – the largest single block of Pinotage in the world. Very few estates attempt to make rosé from this robust, full-flavoured grape, but Kanonkop have perfected the art. It's wonderfully perfumed, with notes of Turkish delight, rose water, summer berries and crisp red apple. Rich and fruity but with plenty of freshness, this will pair brilliantly with sushi.",£14.99 per bottle,75CL,,Screwcap,10.5,per bottle,Rosé,ABV 14.00%,Stellenbosch,Delicate & Dry
"Château Tour Haut-Caussan 2014/17, Médoc","Château Tour Haut-Caussan, and its iconic windmill, is an inside secret for Médoc experts. Robert Parker, the world's most famous wine critic, called the family-run estate ""excellent"". And it's known to compete with some of the prestigious classified estates in its best vintages. But as it's relatively unknown, its Cabernet-Merlot blends are still a bargain. Expect aromas of red and black fruits and smoke, flavours of ripe blackberries and cherries, firm tannins and a hint of oak. Try it with roast beef.",£15.99 per bottle,75CL,Merlot,Natural Cork,10.1,per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied
"Definition Albariño 2021/22, Rías Baixas","The best Albariño comes from Rías Baixas on the lush Galician coastline – so that’s where we went to make the Definition. With misty hills, a wild green coast and bracing winds, the region feels closer to Ireland than Spain. While it may put off sun-bathers, these conditions are perfect for producing fresh, zesty whites. And this is made by one of the region's finest producers, Martín Códax. It's typical of its coastal location, with crisp apricot and citrus notes, and a distinctive sea-spray minerality. Enjoy with fresh white fish.    

In 2022, this wine won an IWC award for the 2021 vintage.",£13.99 per bottle,75CL,,Screwcap,9.8,per bottle,White,ABV 13.00%,Galicia,Fresh & Elegant 
Rijckaert F. Rouve 'Haute Cuvée' Viré-Clessé 2020/21,"Florent Rouve was fresh out of Dijon’s wine college when he first met Jean Rijckaert, an established Burgundy wine legend. The pair’s shared vision for a natural style of winemaking has led to phenomenal success and Florent has now been at the helm of production since 2013. His minimal intervention approach includes carefully hand-picked harvests and zero chemical use in the vineyards. He ages this Viré-Clessé on its lees in small oak barrels for up to 15 months. The result is a richly textured Chardonnay with crisp notes of citrus, stone fruits and blossom, balanced by a delicate minerality. The 2020 vintage scooped an IWC award in 2022.",£24.99 per bottle,75CL,,Natural Cork,9.8,per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded
"Abbotts & Delaunay, Domaine de la Métairie d'Alon 'Le Village' Organic Chardonnay 2022, Languedoc","If you’re seeking out elegant Chardonnay, the warm Languedoc might not be the first place you’d look. But in the right spot – and in the right hands – the grape can produce refreshing wines to rival the best of Burgundy. Côte de Nuits native, Laurent Delaunay, acquired Domaine de la La Métairie d'Alon in 2015 – a high-altitude vineyard in the cool foothills of the Pyrenees. He farms organically, and with vast experience of crafting fine Burgundy wines, brings the same standards of winemaking to new territory. The handpicked grapes for Le Village are gently pressed, with 75% of cuvée spending 8 months ageing on its lees to add complexity. The remaining 25% is kept in stainless steel tanks, altogether resulting in a rich wine balanced by freshness. Expect intense notes of white peach, ripe lemon, banana and hints of fresh pastry and hazelnut. It’s full, rounded character makes it the perfect choice for creamy chicken and fish dishes.",£19.99 per bottle,75CL,,Natural Cork,10.1,per bottle,White,ABV 13.50%,Languedoc-Roussillon,Rich & Toasty
La Rioja Alta 'Finca Martelo' Rioja Reserva 2016/19,"La Rioja Alta are one of the biggest names in Rioja. They craft this Reserva only in perfect vintages, so you can expect excellence in every bottle. The Tempranillo vines on the Torre de Oña estate are over 60 years old – resulting in a wine with incredible concentration and complexity. Add two years of ageing in oak barrels, and you've got all the hedonistic qualities of delicious Rioja. Expect rich flavours of wild strawberry, cherry and redcurrant accompanied by notes of pastry, biscuit, vanilla, liquorice and pepper. Its silky tannins and long, elegant finish make it a fantastic partner for braised and roasted meats.",£27.99 per bottle,75CL,"Garnacha, Mazuelo, Viura",Natural Cork,10.9,per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied
"Definition Claret 2018/19, Medoc","The Definition range brings the world's greatest wine styles to Majestic customers. When it came to adding the king of classic reds, we didn’t take the task lightly. Claret has been a British synonym for red Bordeaux for centuries. Such a traditional wine required a prestigious winemaker with a wealth of regional knowledge. One person immediately sprang into our buyers’ minds: Edwige Lurton Michon. Edwige was raised in Margaux vineyards and was influenced by her family’s viticultural and artistic heritage. She is now head winemaker at the renowned Château Livran, and her passion and skill certainly show in this bottle. It has notes of ripe black fruits, cedar and spice. Structured yet soft tannins make it a fantastic pairing for your Sunday roast.",£13.99 per bottle,75CL,"Merlot, Cabernet Sauvignon",Natural Cork,10.1,per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied
"Beato Bartolomeo Pinot Grigio Rosato 2021/22, Delle Venezie",The Alpine foothills tumble down into the Veneto in North-Eastern Italy. It’s here you’ll find the tiny Breganze DOC. It’s so small that the region’s 700 growers have formed a single cooperative: Beato Bartolomeo Breganze. They make so little of this delicious rosé that we buy everything they make. It’s incredibly bright and fruity with really delicate flavours. Peach. Apricot. Raspberry. It’s delicious with light salads.,£9.99 per bottle,75CL,,Screwcap,9.4,per bottle,Rosé,ABV 12.50%,Veneto,Delicate & Dry
"Château de Berne ‘Inspiration’ Rosé 2021/22 Magnum, Côtes de Provence","A stunning property and landmark of Provence, Château de Berne is a luxurious hotel with a Michelin-starred restaurant. It also happens to be located on a 18th-century wine estate, making it a pilgrimage for food & wine lovers around the world. Their eye-catching square bottles don’t just look the part, they taste great too. Inspiration rosé has remarkable freshness due to the grapes having been picked at night-time, when the heat of the day has dropped. Concentrated yet elegant, it has vibrant summer fruits with a hint of mango, and lively, balanced acidity. Match its freshness with lemony roast chicken sprinkled with plenty of Provençale herbs.",£37.99 per bottle,1.5LTR,Cinsault,Natural Cork,19.5,per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry
"Château Le Boscq 2013, Saint-Estèphe","Château Le Boscq has a rich winemaking history dating back to the 1700s. This Cru Bourgeois estate is recognised for consistently high quality, classic-style wines that offer great value for money. And this 2013 vintage punches way above its price tag. It’s a rich blend of Merlot and Cabernet Sauvignon that combines the powerful character of Saint-Estèphe with extraordinary finesse. Expect a beautifully balanced wine with aromas of ripe cherry, plum, liquorice and cedar. Its silky tannins make it a great partner for roasted game meats.",£24.99 per bottle,75CL,Cabernet Sauvignon,Natural Cork,9.4,per bottle,Red,ABV 12.50%,Bordeaux,Savoury & Full Bodied
"Château Minuty 'Cuvée Prestige' 2021/22, Côtes de Provence","Château Minuty sources the grapes for its 'Cuvée Prestige' from some of the very best Provençal vineyards. Taste the benefits in this blend of Grenache, Cinsault, Syrah and Tibouren, a grape found almost exclusively in Provence. It's powerful-yet-balanced with hints of citrus and red fruit licked by a refreshing minerality. This is the sun-soaked south of France in a bottle.",£23.99 per bottle,75CL,"Tibouren, Cinsault, Syrah",Natural Cork,9.8,per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry
"Maison Saint Aix 'AIX' Rosé 2021/22 Magnum, Coteaux d'Aix en Provence","The iconic rosé magnum. Maison Saint Aix sits high up in the Provence hills. Behind the ancient stone gates, the winemaking team dedicate themselves to just one wine – this fresh, fragrant rosé. The aim is to create the purest possible expression of Provence rosé, and they harvest before sunrise to get the very best from the grapes. As a result, it's full of fresh red fruits, juicy peaches and white flowers. Pair it with a feta salad.

In 2022, this wine won an IWC award for the 2021 vintage.",£35.99 per bottle,150CL,"Syrah, Carignan, Cinsault",Natural Cork,19.5,per bottle,Rosé,ABV 13.00%,Provence,Delicate & Dry
"Muga Rioja Rosado 2021/22, Rioja","Muga is one of the most respected Bodegas in Rioja. But it doesn't stop at reds. Predominantly Garnacha, its Rioja Rosado is more intense and fruity than you'd find in France, but it retains a delicious dry character. Pair its red apple and tropical notes with your next alfresco meal.",£13.99 per bottle,75CL,"Viura, Tempranillo",Natural Cork,10.1,per bottle,Rosé,ABV 13.50%,Rioja And Navarra,Ripe & Fruity
"The Pale Rosé by Sacha Lichine 2021/22, IGP Var","In 2006, Sacha Lichine took over Château d'Esclans with the goal of creating some of the world’s greatest wines. He revolutionised Provence rosé and developed Whispering Angel into the trendiest Provence pink. He’s turned his attention to new areas with The Pale. Crafted with grapes from the Vin de Pays Du Var region of Provence, it’s classic Mediterranean rosé with a twist. It’s a classic blend of Grenache, Cinsault and Syrah – but from an area known for great value. It’s deliciously dry and refreshing with bright red-fruit flavours and a clean, crisp finish. A perfect apéritif or partner for salmon blinis.",£16.99 per bottle,75CL,"Cinsault, Syrah",Natural Cork,9.4,per bottle,Rosé,ABV 12.50%,Provence,Delicate & Dry
